longitude	latitude
104.01	31.75
103.65	31.84
103.82	31.65
103.79	31.62
103.73	31.55
103.55	31.8
103.53	31.8
104.02	31.75
103.71	31.54
103.96	31.76
104.07	31.76
104.12	31.79
103.82	31.67
103.68	31.97
103.65	31.93
103.68	31.53
103.79	31.63
103.86	31.7
104.08	31.78
103.7	31.79
103.56	31.79
104.15	31.79
103.98	31.76
103.79	31.64
103.85	31.73
104.11	31.78
103.67	31.74
103.59	31.82
103.57	31.88
103.21	31.88
103.69	31.9
103.63	31.81
103.8	31.63
103.78	31.79
103.77	31.78
103.71	31.65
103.75	31.59
103.23	31.87
103.68	32.04
103.74	32.12
103.8	31.83
103.43	31.85
103.69	32.01
103.97	31.74
103.95	31.89
104.08	31.77
103.62	32.78
103.6	32.64
103.74	32.16
103.63	32.66
103.65	32.69
103.62	32.57
103.65	32.49
103.68	32.45
103.7	32.43
103.72	32.4
103.73	32.36
103.73	32.31
103.74	32.28
103.76	32.26
103.77	32.26
103.77	32.23
103.76	32.18
103.61	32.6
103.61	32.65
104.14	32.6
103.64	32.51
103.91	32.78
103.6	32.62
103.44	32.32
104.06	32.69
103.91	32.69
104.26	33.17
104.23	33.2
104.35	33.08
103.94	33.19
104.25	33.18
104.23	33.28
104.32	33.12
102.01	31.25
102.09	31.25
102.05	31.29
102.03	31.33
102.02	31.3
102	31.36
102.06	31.48
102.01	31.41
102.05	31.42
102.05	31.41
102.08	31.47
102.04	31.42
102.12	31.52
102.15	31.49
102.14	31.39
102.12	31.43
102.11	31.47
102.07	31.54
102.08	31.56
102.06	31.55
101.91	31.55
102.07	31.52
101.91	31.62
101.95	31.63
101.97	31.66
102.03	31.7
102.07	31.48
102.06	31.52
102.07	31.63
102.01	31.22
102.01	31.65
102.02	31.71
101.34	31.36
101.68	31.57
101.56	31.8
101.55	31.78
101.53	31.77
101.64	31.79
101.86	31.82
101.58	31.73
101.9	31.55
101.86	31.9
102.07	31.59
102.02	31.2
101.92	31.16
102.06	31.47
102.64	30.96
102.3	30.98
102.51	31.02
102.37	31.12
102.48	31.29
102.49	31.31
102.45	31.23
102.44	31.13
102.88	31
102.22	30.79
102.37	31
102.42	31.54
102.36	31
102.44	31.24
102.67	30.97
102.08	30.76
102.47	31.12
102.54	31.14
102.54	31.11
102.57	31
102.39	30.95
102.98	32.08
103.15	32.17
103.42	31.94
103.2	32.18
103.17	32.22
103.17	32.16
103.31	32.41
103.42	32.01
102.99	32.15
103.26	32.01
103.35	32.07
101.21	31.81
101.11	32.39
101.05	32.5
101.12	32.39
101.27	32.27
101.22	32.34
101.07	32.41
101.04	32.48
101.07	31.8
101.43	31.75
100.81	32.39
101.06	32.51
101	31.77
100.7	32.51
101.04	32.47
101.36	32.61
101.7	32.58
101.7	32.91
101.61	32.94
102.19	30.1
102.28	30.37
102.18	30.18
102.22	30.23
102.01	30.54
102.07	30.54
101.52	30.32
101.34	29.59
101.96	30.04
101.9	30.04
101.96	30
102.28	30.38
102.29	30.38
102.28	30.42
102.29	30.43
101.43	29.51
101.54	29.81
102.06	30.51
102.11	30.07
101.96	30.08
102.23	30.22
101.97	30.05
102.22	30.03
102.22	29.89
102.19	30.01
102.18	30.03
102.21	29.97
102.23	29.77
102.23	30.03
102.21	29.87
102.2	29.7
102.22	29.82
102.23	29.79
102.03	30.03
102.22	29.66
102.25	29.75
102.3	29.73
102.09	29.69
102.13	29.64
102.2	29.71
101.94	30.9
101.96	30.91
101.85	31.08
101.87	30.94
101.94	30.92
102.14	30.99
101.92	30.83
101.94	30.86
101.87	31.09
101.88	31.11
101.87	30.99
101.89	31.12
101.96	30.92
101.51	29.14
101.87	30.26
101.54	28.99
100.72	30.02
101.27	29.79
101.03	30.1
101.01	30.11
101.14	30.07
101.33	29.88
101.13	30.88
101.12	30.92
101.14	30.87
101.12	29.98
101.49	30.56
100.77	31.3
100.31	31.64
100.24	31.67
100.68	31.39
100.67	31.39
99.8	31.66
99.99	31.63
100.21	31.75
99.74	31.66
100.02	31
100.2	30.95
100.3	31.19
99.3	32.25
99.58	31.82
99.5	32
98.87	32.13
98.83	32.21
98.95	31.83
100.35	32.26
100.87	31.9
100.73	31.87
102.18	28.05
102.37	27.84
102.23	27.91
102.33	27.84
102.13	27.94
102.21	27.82
102.14	28.06
102.21	27.77
102.13	27.99
102.14	28.02
102.3	27.88
102.29	27.88
102.2	27.66
102.27	27.89
102.12	28.07
102.26	27.74
102.31	27.93
102.22	27.88
102.21	27.88
102.39	27.84
102.32	27.79
102.16	28.16
102.18	27.62
102.16	27.62
102.15	27.62
102.14	27.65
102.15	27.83
102.2	27.57
102.2	27.58
102.2	27.55
102.26	27.73
102.26	27.7
102.25	27.72
102.23	27.73
102.21	27.97
102.25	27.87
102.22	27.9
102.28	27.88
102.15	27.75
102.21	27.78
102.2	27.59
102.25	27.91
102.24	27.87
102.24	27.9
102.26	27.9
102.16	27.9
102.26	27.85
102.27	27.9
102.28	27.89
102.28	27.84
102.16	27.74
102.2	27.61
102.25	27.78
102.24	27.72
102.38	27.72
102.2	27.68
100.78	27.82
101.5	27.44
101.65	27.45
101.57	27.91
101.4	27.45
101.37	27.43
101.6	27.45
101.48	27.46
100.91	27.72
100.84	27.7
101.53	27.72
101.5	27.51
102.2	27.43
102.26	27.17
102.33	27.32
102.16	27.4
102.21	27.4
102.17	27.45
102.17	27.37
102.19	27.35
102.2	27.33
102.17	27.36
102.12	27.22
102.2	27.9
102.3	27.34
102.18	27.5
102.15	27.47
102.39	27.34
102.17	27.47
102.2	27.52
102.2	27.49
102.19	27.47
102.26	27.51
102.15	27.32
102.2	27.38
102.2	27.36
102.1	27.34
102.22	27.35
102.18	27.4
102.15	27.3
102.08	27.19
102.31	27.52
102.16	27.37
102.29	27.19
102.19	27.39
102.18	27.38
102.08	27.18
102.25	27.16
102.18	27.41
102.03	26.37
102.22	26.45
102.1	26.17
102.2	26.68
102.02	26.68
101.99	26.3
102.27	26.61
102.24	26.65
102.24	26.67
101.99	26.29
102.24	26.68
102.21	26.56
102.19	26.46
102.27	26.29
102.13	26.5
102.12	26.14
102.13	26.21
102.09	26.22
102.05	26.38
102.22	26.61
102.22	26.66
102.25	26.68
102.25	26.61
102.25	26.71
102.25	26.57
102.29	26.51
102.27	26.52
102.25	26.29
